last seen position,churned_trial_users,churned_paid_users,active_paid_users
Supervised Learning::Wont You Compute My Neighbors::490,,,1
Supervised Learning::Some Other Stuff::490,,,
Supervised Learning::Normalizing 3::491,,,
Supervised Learning::What Have We Learned::491,2,2,3
Supervised Learning::Domain K NNowledge::491,1,1,3
Supervised Learning::Summary::491,,1,1
Supervised Learning::Intro::492,2,1,2
Supervised Learning::K NN Bias::492,,,1
Supervised Learning::Total Probability::492,,,
Supervised Learning::Speed Scatterplot: Grade and Bumpiness::492,2,1,6
Supervised Learning::Curse of Dimensionality::493,9,1,2
Supervised Learning::Speed Scatterplot 2::493,,,1
Supervised Learning::Joint Distribution::493,2,1,2
Supervised Learning::Bayes Rule Diagram::493,,,1
Supervised Learning::Curse of Dimensionality Two::494,4,1,4
Supervised Learning::Speed Scatterplot 3::494,,,1
Supervised Learning::Bayes Rule for Classification::494,,,1
Supervised Learning::Joint Distribution Quiz::494,1,,1
Supervised Learning::Some Other Stuff::495,,,
Supervised Learning::Chris or Sara::495,,1,
Supervised Learning::Adding Attributes::495,,,2
Supervised Learning::From Scatterplots to Predictions::495,,,2
Supervised Learning::What Have We Learned::496,2,2,3
Supervised Learning::From Scatterplots to Predictions 2::496,,,
Supervised Learning::Conditional Independence::496,2,,2
Supervised Learning::Posterior Probabilities::496,,,2
Supervised Learning::Conditional Quiz::497,,,1
Supervised Learning::Bayesian Probabilities On Your Own::497,,1,
Supervised Learning::Speed Scatterplot: Grade and Bumpiness::497,2,1,6
Supervised Learning::From Scatterplots to Decision Surfaces::497,1,,
Supervised Learning::Belief Networks::498,,,
Supervised Learning::Speed Scatterplot 2::498,,,1
Supervised Learning::Why Is Naive Bayes Naive::498,,,3
Supervised Learning::A Good Linear Decision Surface::498,,,
Supervised Learning::Sampling From The Joint Distribution::499,,,
Supervised Learning::Speed Scatterplot 3::499,,,1
Supervised Learning::Transition to Using Naive Bayes::499,,,
Supervised Learning::Intro::499,2,2,5
Supervised Learning::NB Decision Boundary in Python::500,,,
Supervised Learning::Bayes Rule::500,,1,
Supervised Learning::Recovering the Joint Distribution::500,,,1
Supervised Learning::From Scatterplots to Predictions::500,,,2
Supervised Learning::Bayes Rule p2::501,1,,6
Supervised Learning::From Scatterplots to Predictions 2::501,,,
Supervised Learning::Getting Started With sklearn::501,3,1,2
Supervised Learning::Sampling::501,,,1
Supervised Learning::From Scatterplots to Decision Surfaces::502,1,,
Supervised Learning::Inferencing Rules::502,,1,
Supervised Learning::Gaussian NB Example::502,5,2,3
Supervised Learning::Bayes Rule Quiz::502,1,1,3
Supervised Learning::A Good Linear Decision Surface::503,,,
Supervised Learning::Inferencing Rules Quiz::503,1,,
Supervised Learning::Bayesian Learning::503,,1,2
Supervised Learning::GaussianNB Deployment on Terrain Data::503,4,4,14
Supervised Learning::Inference By Hand::504,,1,
Supervised Learning::Bayesian Learning in Action::504,1,1,2
Supervised Learning::Calculating NB Accuracy::504,,,2
Supervised Learning::Transition to Using Naive Bayes::504,,,
Supervised Learning::Training and Testing Data::505,,2,
Supervised Learning::Noisy Data::505,1,1,6
Supervised Learning::Naive Bayes::505,,1,3
Supervised Learning::NB Decision Boundary in Python::505,,,
Supervised Learning::Return to Bayesian Learning::506,,2,7
Supervised Learning::Getting Started With sklearn::506,3,1,2
Supervised Learning::Why Naive Bayes Is Cool::506,1,,4
Supervised Learning::Unpacking NB Using Bayes Rule::506,,,
Supervised Learning::Best hypothesis::507,1,1,
Supervised Learning::Gaussian NB Example::507,5,2,3
Supervised Learning::Wrapping Up::507,1,1,1
Supervised Learning::Bayes Rule::507,,,
Supervised Learning::Bad Handwriting Exposition::508,2,3,4
Supervised Learning::Cancer Test::508,2,1,
Supervised Learning::GaussianNB Deployment on Terrain Data::508,4,4,14
Supervised Learning::Minimum Description Length::508,,,
Supervised Learning::Which Tree::509,,,1
Supervised Learning::Calculating NB Accuracy::509,,,2
Supervised Learning::Calculations::509,,,3
Supervised Learning::Prior and Posterior::509,2,,
Supervised Learning:: Bayesian Classification::510,1,,1
Supervised Learning::Normalizing 1::510,,,1
Supervised Learning::Maximum Likelihood::510,,1,2
Supervised Learning::Training and Testing Data::510,,2,
Supervised Learning::Normalizing 2::511,,,
Supervised Learning::Unpacking NB Using Bayes Rule::511,,,
Supervised Learning::Summary::511,,1,1
Supervised Learning::NLP Disclaimer::511,1,,2
Supervised Learning::Bayes Rule::512,,,
Supervised Learning::Normalizing 3::512,,,
Supervised Learning::Intro::512,2,1,2
Supervised Learning::Optimal Classifier Example::512,,,2
Supervised Learning::Cancer Test::513,2,1,
Supervised Learning::Total Probability::513,,,
Supervised Learning::Optimal Classifier Exercise::513,,2,12
Supervised Learning::Joint Distribution::513,2,1,2
Supervised Learning::Joint Distribution Quiz::514,1,,1
Supervised Learning::Which Words Meditation::514,,,
Supervised Learning::Prior and Posterior::514,2,,
Supervised Learning::Bayes Rule Diagram::514,,,1
Supervised Learning::Adding Attributes::515,,,2
Supervised Learning::Joint Distribution Analysis::515,,,1
Supervised Learning::Normalizing 1::515,,,1
Supervised Learning::Bayes Rule for Classification::515,,,1
Supervised Learning::Normalizing 2::516,,,
Supervised Learning::Domain Knowledge Quiz::516,,,
Supervised Learning::Conditional Independence::516,2,,2
Supervised Learning::Chris or Sara::516,,1,
Supervised Learning::Conditional Quiz::517,,,1
Supervised Learning::Normalizing 3::517,,,
Supervised Learning::Domain Knowledge Fill In::517,1,1,2
Supervised Learning::Posterior Probabilities::517,,,2
Supervised Learning::Total Probability::518,,,
Supervised Learning::Bayesian Probabilities On Your Own::518,,1,
Supervised Learning::Belief Networks::518,,,
Supervised Learning::Ensemble Learning Boosting::518,2,3,10
Supervised Learning::Sampling From The Joint Distribution::519,,,
Supervised Learning::Ensemble Learning Simple Rules::519,,,1
Supervised Learning::Why Is Naive Bayes Naive::519,,,3
Supervised Learning::Bayes Rule Diagram::519,,,1
Supervised Learning::Recovering the Joint Distribution::520,,,1
Supervised Learning::Intro::520,2,2,5
Supervised Learning::Bayes Rule for Classification::520,,,1
Supervised Learning::Ensemble Learning Algorithm::520,1,,1
Supervised Learning::Sampling::521,,,1
Supervised Learning::Chris or Sara::521,,1,
Supervised Learning::Ensemble Learning Outputs::521,,,1
Supervised Learning::Bayes Rule::521,,1,
Supervised Learning::Bayes Rule p2::522,1,,6
Supervised Learning::Ensemble Learning An Example::522,1,,2
Supervised Learning::Inferencing Rules::522,,1,
Supervised Learning::Posterior Probabilities::522,,,2
Supervised Learning::Inferencing Rules Quiz::523,1,,
Supervised Learning::Bayesian Probabilities On Your Own::523,,1,
Supervised Learning::Ensemble Boosting::523,,,2
Supervised Learning::Bayes Rule Quiz::523,1,1,3
Supervised Learning::Bayesian Learning::524,,1,2
Supervised Learning::Ensemble Boosting Quiz::524,,,5
Supervised Learning::Why Is Naive Bayes Naive::524,,,3
Supervised Learning::Inference By Hand::524,,1,
Supervised Learning::Intro::525,2,2,5
Supervised Learning::Ensemble Boosting Quiz Two::525,,,1
Supervised Learning::Naive Bayes::525,,1,3
Supervised Learning::Bayesian Learning in Action::525,1,1,2
Supervised Learning::Noisy Data::526,1,1,6
Supervised Learning::Why Naive Bayes Is Cool::526,1,,4
Supervised Learning::Weak Learning::526,,1,2
Supervised Learning::Bayes Rule::526,,1,
Supervised Learning::Bayes Rule p2::527,1,,6
Supervised Learning::Boosting In Code::527,,2,1
Supervised Learning::Return to Bayesian Learning::527,,2,7
Supervised Learning::Wrapping Up::527,1,1,1
Supervised Learning::Bad Handwriting Exposition::528,2,3,4
Supervised Learning::Bayes Rule Quiz::528,1,1,3
Supervised Learning::The Most Important Parts::528,2,3,2
Supervised Learning::Best hypothesis::528,1,1,
Supervised Learning::Minimum Description Length::529,,,
Supervised Learning::Bayesian Learning::529,,1,2
Supervised Learning::When D agrees::529,,1,3
Supervised Learning::Calculations::529,,,3
Supervised Learning::Which Tree::530,,,1
Supervised Learning::Bayesian Learning in Action::530,1,1,2
Supervised Learning::Maximum Likelihood::530,,1,2
Supervised Learning::Final Hypothesis::530,,,3
Supervised Learning::Noisy Data::531,1,1,6
Supervised Learning::NLP Disclaimer::531,1,,2
Supervised Learning:: Bayesian Classification::531,1,,1
Supervised Learning::Three Little Boxes::531,,,
Supervised Learning::Optimal Classifier Example::532,,,2
Supervised Learning::Which Hypothesis::532,,,1
Supervised Learning::Return to Bayesian Learning::532,,2,7
Supervised Learning::Summary::532,,1,1
Supervised Learning::Good Answers::533,,1,4
Supervised Learning::Optimal Classifier Exercise::533,,2,12
Supervised Learning::Intro::533,2,1,2
Supervised Learning::Best hypothesis::533,1,1,
Supervised Learning::Minimum Description Length::534,,,
Supervised Learning::Which Words Meditation::534,,,
Supervised Learning::Back to Boosting::534,1,,1
Supervised Learning::Joint Distribution::534,2,1,2
Supervised Learning::Joint Distribution Quiz::535,1,,1
Supervised Learning::Boosting Tends to Overfit::535,,,2
Supervised Learning::Joint Distribution Analysis::535,,,1
Supervised Learning::Which Tree::535,,,1
Supervised Learning::Adding Attributes::536,,,2
Supervised Learning::Domain Knowledge Quiz::536,,,
Supervised Learning::Summary::536,,2,36
Supervised Learning:: Bayesian Classification::536,1,,1
Supervised Learning::Conditional Independence::537,2,,2
Supervised Learning::Overview::537,3,1,3
Supervised Learning::Domain Knowledge Fill In::537,1,1,2
Supervised Learning::Summary::537,,1,1
Supervised Learning::Conditional Quiz::538,,,1
Supervised Learning::Software Requirements::538,4,2,1
Supervised Learning::Ensemble Learning Boosting::538,2,3,10
Supervised Learning::Intro::538,2,1,2
Supervised Learning::Starting the Project::539,5,4,6
Supervised Learning::Ensemble Learning Simple Rules::539,,,1
Supervised Learning::Joint Distribution::539,2,1,2
Supervised Learning::Belief Networks::539,,,
Supervised Learning::Submitting the Project::540,3,6,5
Supervised Learning::Sampling From The Joint Distribution::540,,,
Supervised Learning::Ensemble Learning Algorithm::540,1,,1
Supervised Learning::Joint Distribution Quiz::540,1,,1
Supervised Learning::Ensemble Learning Outputs::541,,,1
Resume Review::Introduction::541,7,1,5
Supervised Learning::Adding Attributes::541,,,2
Supervised Learning::Recovering the Joint Distribution::541,,,1
Resume Review::Lesson Objectives::542,3,1,3
Supervised Learning::Sampling::542,,,1
Supervised Learning::Ensemble Learning An Example::542,1,,2
Supervised Learning::Conditional Independence::542,2,,2
Supervised Learning::Ensemble Boosting::543,,,2
Supervised Learning::Conditional Quiz::543,,,1
Resume Review::Quick Tips Before We Start::543,1,,1
Supervised Learning::Inferencing Rules::543,,1,
Resume Review::Personal Reflection::544,,,1
Supervised Learning::Ensemble Boosting Quiz::544,,,5
Supervised Learning::Inferencing Rules Quiz::544,1,,
Supervised Learning::Belief Networks::544,,,
Supervised Learning::Inference By Hand::545,,1,
Supervised Learning::Sampling From The Joint Distribution::545,,,
Supervised Learning::Ensemble Boosting Quiz Two::545,,,1
Resume Review::My Master Resume Mindset::545,1,1,
Supervised Learning::Recovering the Joint Distribution::546,,,1
Supervised Learning::Naive Bayes::546,,1,3
Resume Review::Your Master Resume Mindset::546,,1,
Supervised Learning::Weak Learning::546,,1,2
Supervised Learning::Sampling::547,,,1
Supervised Learning::Why Naive Bayes Is Cool::547,1,,4
Supervised Learning::Boosting In Code::547,,2,1
Resume Review::The Master Resume Mindset Quiz::547,,,
Supervised Learning::Inferencing Rules::548,,1,
Supervised Learning::The Most Important Parts::548,2,3,2
Resume Review::The Master Resume Mindset Quiz #2::548,,,
Supervised Learning::Wrapping Up::548,1,1,1
Supervised Learning::When D agrees::549,,1,3
Supervised Learning::Bad Handwriting Exposition::549,2,3,4
Resume Review::The Master Resume Mindset Quiz #3::549,,,
Supervised Learning::Inferencing Rules Quiz::549,1,,
Supervised Learning::Inference By Hand::550,,1,
Resume Review::Creating Your Master Resume::550,,,1
Supervised Learning::Final Hypothesis::550,,,3
Supervised Learning::Calculations::550,,,3
Supervised Learning::Maximum Likelihood::551,,1,2
Resume Review::Sections of your Master Resume::551,3,,3
Supervised Learning::Naive Bayes::551,,1,3
Supervised Learning::Three Little Boxes::551,,,
Resume Review::Quiz: Resume sections::552,1,,2
Supervised Learning::Why Naive Bayes Is Cool::552,1,,4
Supervised Learning::NLP Disclaimer::552,1,,2
Supervised Learning::Which Hypothesis::552,,,1
Supervised Learning::Wrapping Up::553,1,1,1
Resume Review::Quiz: Heading section::553,,,1
Supervised Learning::Good Answers::553,,1,4
Supervised Learning::Optimal Classifier Example::553,,,2
Supervised Learning::Back to Boosting::554,1,,1
Supervised Learning::Bad Handwriting Exposition::554,2,3,4
Supervised Learning::Optimal Classifier Exercise::554,,2,12
Resume Review::Quiz: Project Section::554,,,
Supervised Learning::Which Words Meditation::555,,,
Resume Review::How To Complete Your Master Resume::555,,,
Supervised Learning::Calculations::555,,,3
Supervised Learning::Boosting Tends to Overfit::555,,,2
Supervised Learning::Summary::556,,2,36
Supervised Learning::Joint Distribution Analysis::556,,,1
Resume Review::Master Resume - Bullet Point Statements::556,,,2
Supervised Learning::Maximum Likelihood::556,,1,2
Supervised Learning::NLP Disclaimer::557,1,,2
Supervised Learning::Overview::557,,,1
Supervised Learning::Domain Knowledge Quiz::557,,,
Resume Review::Your own bullet point statement::557,,1,1
Supervised Learning::Software Requirements::558,,,
Supervised Learning::Domain Knowledge Fill In::558,1,1,2
